zmjgm,sname,name,per_nav,zjzfe,symbol,three_month,clrq,six_month,dwjz,form_year,form_start,one_year,total_nav,jzrq,jjjl,ljjz,jjglr_code,
20000.6,华安新丰利混合A,华安新丰利混合A,3.1313,261019,003803,206.09,2016-12-29 00:00:00,209.907,3.1313,313.13,213.13,--,3.1313,2017-11-07 00:00:00,孙丽娜,3.1313,80000228,
250084,中融新经济混合A,中融新经济混合A,1.763,53278900,001387,0.398633,2015-11-17 00:00:00,1.8609,1.763,225.997,120.121,121.005,2.195,2017-11-06 00:00:00,姜涛、王玥,2.195,80329448,
45895,国泰国证食品饮料行业指数分级B,国泰国证食品饮料行业指数分级B,1.5758,111424000,150199,45.732,2014-10-23 00:00:00,89.9928,1.5758,225.727,232.32,119.226,2.6847,2017-11-07 00:00:00,梁杏、徐成城,2.6847,80000224,
60009.8,鹏华弘达混合A,鹏华弘达混合A,2.1973,1095390,003142,2.68237,2016-08-10 00:00:00,5.87867,2.1973,220.768,119.73,119.248,2.1973,2017-11-07 00:00:00,刘方正,2.1973,80000230,
20002.1,新沃鑫禧债券,新沃鑫禧债券,2.1852,998422000,003836,114.277,2016-12-22 00:00:00,116.958,2.1852,218.302,118.52,--,2.1852,2017-11-07 00:00:00,俞瓅,2.1852,80489692,
66570.7,鹏华酒分级B,鹏华酒分级B,1.682,22337800,150230,33.5981,2015-04-29 00:00:00,75.391,1.682,209.204,68.2,109.204,1.682,2017-11-07 00:00:00,余斌,1.682,80000230,
20134.4,华富元鑫灵活配置混合A,华富元鑫灵活配置混合A,2.015,8656560,002853,3.91955,2016-08-26 00:00:00,92.6386,2.015,199.7027,101.5,99.5049,2.015,2017-11-07 00:00:00,张惠,2.015,80037023,
26981.7,方正富邦保险主题指数分级B,方正富邦保险主题指数分级B,1.662,40251200,150330,21.5801,2015-07-31 00:00:00,77.5641,1.662,179.6757,66.2,79.6757,1.662,2017-11-07 00:00:00,沈毅,1.662,80174741,
39648.5,招商中证白酒指数分级,招商中证白酒指数分级,1.157,2265450000,161725,22.9582,2015-05-27 00:00:00,51.1182,1.157,176.5876,80.0394,78.8231,1.688,2017-11-07 00:00:00,侯昊,1.688,80036782,
636590,东方红睿华沪港深混合,东方红睿华沪港深混合,1.6425,6365900000,169105,22.9416,2016-08-04 00:00:00,41.9129,1.6425,162.3505,64.25,62.2062,1.6425,2017-11-07 00:00:00,林鹏,1.6425,80145102,
77137.1,东方红沪港深混合,东方红沪港深混合,1.655,3449220000,002803,22.2304,2016-07-11 00:00:00,41.0912,1.655,160.6796,65.5,60.8358,1.655,2017-11-07 00:00:00,林鹏,1.655,80145102,
637273,易方达消费行业股票,易方达消费行业股票,2.256,3007070000,110022,19.3651,2010-08-20 00:00:00,33.5702,2.256,159.6603,125.6,62.069,2.256,2017-11-07 00:00:00,萧楠,2.256,80000229,
50557.7,国泰互联网+股票,国泰互联网+股票,2.01,2092730000,001542,16.1179,2015-08-04 00:00:00,42.9587,2.01,159.6505,101,55.4524,2.01,2017-11-07 00:00:00,彭凌志,2.01,80000224,
,上投摩根新兴动力混合H,上投摩根新兴动力混合H,3.291,3497710,960007,27.5581,2016-01-21 00:00:00,45.5551,3.291,158.6789,67.3957,47.5123,3.291,2017-11-06 00:00:00,杜猛,3.291,80050229,
45917.4,上投摩根新兴动力混合A,上投摩根新兴动力混合A,3.283,814149000,377240,25.5449,2011-07-13 00:00:00,45.3298,3.283,158.3695,228.3,48.3507,3.283,2017-11-07 00:00:00,杜猛,3.283,80050229,
103864,东方红睿轩沪港深混合,东方红睿轩沪港深混合,1.615,1038640000,169103,22.4412,2016-01-20 00:00:00,39.4646,1.615,156.3931,67.9662,54.8075,1.657,2017-11-06 00:00:00,刚登峰,1.657,80145102,
701614,交银稳健配置混合A,交银稳健配置混合A,1.6764,2320150000,519690,22.3114,2006-06-14 00:00:00,36.4924,1.6764,154.5781,540.153,48.2359,3.8594,2017-11-07 00:00:00,唐倩,3.8594,80064562,
45895,国泰国证食品饮料行业指数分级,国泰国证食品饮料行业指数分级,1.3111,331103000,160222,24.0515,2014-10-23 00:00:00,41.9093,1.3111,154.4376,118.774,53.3352,1.9324,2017-11-07 00:00:00,梁杏、徐成城,1.9324,80000224,
79465.7,汇添富中证主要消费ETF,汇添富中证主要消费ETF,2.2595,471657000,159928,24.2781,2013-08-23 00:00:00,41.2717,2.2595,154.2953,126.154,53.7179,2.2595,2017-11-07 00:00:00,过蓓蓓,2.2595,80053708,
1385610,东方红中国优势混合,东方红中国优势混合,1.602,3364710000,001112,23.0415,2015-04-07 00:00:00,34.8485,1.602,154.1867,60.2,54.1867,1.602,2017-11-06 00:00:00,王延飞、林鹏、韩冬,1.602,80145102,
53048.1,东方红睿阳混合,东方红睿阳混合,1.706,530481000,169102,17.6552,2015-01-19 00:00:00,35.5044,1.706,153.79,137.869,56.1399,2.089,2017-11-07 00:00:00,林鹏、王延飞、秦绪文,2.089,80145102,
46270.9,华宝海外中国混合(QDII),华宝海外中国混合(QDII),1.885,272739000,241001,11.7188,2008-05-07 00:00:00,27.7663,1.885,153.2564,85.9,52.5021,1.885,2017-11-06 00:00:00,周欣,1.885,80000250,
507101,银华富裕主题混合,银华富裕主题混合,2.8375,2426310000,180012,16.0674,2006-11-16 00:00:00,36.0324,2.8375,153.0557,481.356,53.0145,3.7905,2017-11-07 00:00:00,周可彦,3.7905,80000235,
71384.5,国泰新经济灵活配置混合,国泰新经济灵活配置混合,2.475,1064840000,000742,15.8166,2014-09-16 00:00:00,40.0679,2.475,152.8721,190.934,52.3077,2.76,2017-11-07 00:00:00,彭凌志,2.76,80000224,
58861.6,嘉实优化红利混合,嘉实优化红利混合,1.486,822502000,070032,20.2265,2012-06-26 00:00:00,39.0084,1.486,152.5667,190.97,42.201,2.339,2017-11-07 00:00:00,季文华,2.339,80000223,
2180.41,银华盛世精选灵活配置混合发起式,银华盛世精选灵活配置混合发起式,1.3654,1013960000,003940,17.778,2016-12-22 00:00:00,32.7687,1.3654,152.1045,51.7546,--,1.4897,2017-11-07 00:00:00,李晓星,1.4897,80000235,
61779.5,嘉实新兴产业股票,嘉实新兴产业股票,2.238,236967000,000751,20.3226,2014-09-17 00:00:00,37.8079,2.238,151.9348,123.8,42.7296,2.238,2017-11-07 00:00:00,季文华,2.238,80000223,
592309,景顺长城新兴成长混合,景顺长城新兴成长混合,1.402,1119430000,260108,22.0191,2006-06-28 00:00:00,33.3968,1.402,151.7316,223.314,48.0465,2.769,2017-11-07 00:00:00,刘彦春,2.769,80000251,
44562.7,景顺长城鼎益混合(LOF),景顺长城鼎益混合(LOF),1.317,1644400000,162605,22.2841,2005-03-16 00:00:00,33.0303,1.317,151.3793,804.284,46.6592,4.005,2017-11-07 00:00:00,刘彦春,4.005,80000251,
114469,东方红睿满沪港深混合,东方红睿满沪港深混合,1.548,1144690000,169104,18.8028,2016-06-28 00:00:00,38.091,1.548,151.1476,59.1585,53.6278,1.577,2017-11-07 00:00:00,周云、孙伟,1.577,80145102,
66570.7,鹏华酒分级,鹏华酒分级,1.362,245376000,160632,18.952,2015-04-29 00:00:00,37.7149,1.362,150.6637,42.3041,51.1822,1.401,2017-11-07 00:00:00,余斌,1.401,80000230,
23107.3,嘉实沪港深精选股票,嘉实沪港深精选股票,1.737,4235810000,001878,12.6459,2016-05-27 00:00:00,26.4192,1.737,150.6505,73.7,46.9543,1.737,2017-11-07 00:00:00,张金涛,1.737,80000223,
374210,汇添富中证主要消费ETF联接,汇添富中证主要消费ETF联接,1.5107,736174000,000248,22.7413,2015-03-24 00:00:00,38.6218,1.5107,150.6332,51.07,50.0199,1.5107,2017-11-07 00:00:00,吴振翔、过蓓蓓,1.5107,80053708,
146422,申万菱信消费增长混合,申万菱信消费增长混合,1.525,97833200,310388,21.3206,2009-06-12 00:00:00,35.797,1.525,150.4197,92.433,45.0171,1.789,2017-11-07 00:00:00,季新星,1.789,80045188,
300000,国泰金鑫股票,国泰金鑫股票,2.041,1086340000,519606,19.4266,2014-09-15 00:00:00,31.3385,2.041,150.4053,100.698,47.2583,2.216,2017-11-07 00:00:00,申坤,2.216,80000224,
127180,鹏华消费优选混合,鹏华消费优选混合,2.31,192701000,206007,17.8571,2010-12-28 00:00:00,29.1946,2.31,150.1951,131,44.1948,2.31,2017-11-07 00:00:00,王宗合,2.31,80000230,
353095,嘉实全球互联网股票现钞(QDII),嘉实全球互联网股票现钞(QDII),1.364,89784200,000990,8.42607,2015-04-15 00:00:00,27.955,1.364,149.5614,36.4,40.9091,1.364,2017-11-03 00:00:00,张丹华,1.364,80000223,
353095,嘉实全球互联网股票现汇(QDII),嘉实全球互联网股票现汇(QDII),1.4,89784200,000989,8.42607,2015-04-15 00:00:00,27.955,1.4,149.5614,36.4,40.9091,1.4,2017-11-06 00:00:00,张丹华,1.4,80000223,
28353.4,上投摩根核心优选混合,上投摩根核心优选混合,3.226,374769000,370024,19.9702,2012-11-28 00:00:00,40.1999,3.226,149.5596,222.6,41.2434,3.226,2017-11-07 00:00:00,孙芳,3.226,80050229,
67200.6,东方红睿元混合,东方红睿元混合,2.292,672006000,000970,17.4782,2015-01-21 00:00:00,29.7848,2.292,149.5108,129.2,50,2.292,2017-11-03 00:00:00,林鹏、韩冬,2.292,80145102,
40928.7,国泰成长优选混合,国泰成长优选混合,3.288,1484360000,020026,19.6243,2012-03-20 00:00:00,31.8508,3.288,149.4613,295.394,47.8114,3.81,2017-11-07 00:00:00,申坤,3.81,80000224,
161016,东方红睿丰混合(LOF),东方红睿丰混合(LOF),1.454,9092400000,169101,16.0264,2014-09-19 00:00:00,27.8908,1.454,149.308,188.602,51.2471,2.356,2017-11-06 00:00:00,林鹏,2.356,80145102,
50000,华安策略优选混合,华安策略优选混合,1.5844,4724810000,040008,10.4419,2007-08-02 00:00:00,31.9014,1.5844,149.2886,65.6631,42.7645,3.1207,2017-11-07 00:00:00,杨明,3.1207,80000228,
177209,上投摩根成长动力混合,上投摩根成长动力混合,1.534,185737000,000073,22.72,2013-05-15 00:00:00,34.7979,1.534,149.2218,53.4,40.7339,1.534,2017-11-07 00:00:00,刘辉,1.534,80050229,
