2017-10-27 16:32:56
count:158
name,code,number,count,volume,amount,trade,changeprice,changepercent,symbol,sname,strade,schangeprice,schangepercent,
电子,sw_dz,241,231,4132064460,51882804220,25.4203030303,-0.0568831168831,-0.223270798253,sz300709,精研科技,98.730,8.980,10.006,
化工,sw_hg,374,351,2793151758,38955829147,17.318005698,-0.111310541311,-0.638639748009,sz300596,利安隆,23.630,2.150,10.009,
医药生物,sw_yysw,313,301,1701801998,34687747253,24.7551827243,0.0376744186047,0.152419969435,sh603233,大参林,47.960,4.360,10.000,
机械设备,sw_jxsb,350,331,2645193258,34215193545,19.7914501511,-0.134229607251,-0.673651332747,sz002903,宇环数控,43.380,3.940,9.990,
有色金属,sw_ysjs,133,123,2239050772,31238641184,18.6278861789,-0.17081300813,-0.90864270145,sz300706,阿石创,79.870,7.260,9.999,
食品饮料,sw_spyl,103,101,818711440,24003951993,27.1797029703,0.581584158416,2.18656124717,sh603886,元祖股份,23.420,2.130,10.005,
计算机,sw_jsj,200,187,1263409163,23206861680,22.7181283422,-0.239197860963,-1.04192386711,sz002401,中远海科,18.690,1.360,7.848,
汽车,sw_qc,165,157,1501954622,22942962253,21.2971974522,-0.0230573248408,-0.108147510815,sz002664,信质电机,32.150,1.780,5.861,
光学光电子,sw2_270300,60,57,2562052090,22192893716,22.6766666667,0.0921052631579,0.407824006463,sz300708,聚灿光电,9.590,0.870,9.977,
非银金融,sw_fyjr,60,59,1042834398,20257951892,15.2901694915,-0.0396610169492,-0.258717909029,sh601318,中国平安,63.930,2.540,4.138,
通信,sw_tx,106,98,1475227333,20203257143,23.252755102,-0.175306122449,-0.74827413489,sz300603,立昂技术,36.060,3.280,10.006,
化学制品,sw2_220300,192,174,1163196198,20122054182,19.7345977011,-0.0961494252874,-0.484850241266,sz002909,集泰股份,11.840,1.080,10.037,
银行,sw2_480000,25,25,2360051396,19763546717,10.516,0.18,1.74148606811,sh600036,招商银行,28.100,1.550,5.838,
银行,sw_yx,25,25,2360051396,19763546717,10.516,0.18,1.74148606811,sh600036,招商银行,28.100,1.550,5.838,
交通运输,sw_jtys,118,110,1875844086,18725938232,13.6447272727,-0.122636363636,-0.890775945748,sh600018,上港集团,8.000,0.440,5.820,
电气设备,sw_dqsb,205,188,1344090009,18335026422,18.182712766,-0.0635638297872,-0.348366032125,sh603396,金辰股份,54.620,4.970,10.010,
房地产,sw_fdc,186,170,1653520887,17873748886,11.2932352941,-0.0695294117647,-0.611905760301,sh600872,中炬高新,25.290,1.400,5.860,
