基金代码,基金名称,基金经理,类型,募集起始日,募集截止日,发行公告,
501047,汇添富中证全指证券公司指数(LOF)A,楚天舒,指数型,2017-11-08,2017-11-28,公告,
501049,东方红睿玺三年定开混合,王延飞,稳健成长型,2017-11-08,2017-11-08,公告,
501048,汇添富中证全指证券公司指数(LOF)C,楚天舒,指数型,2017-11-08,2017-11-28,公告,
005252,中海添瑞定期开放混合,刘俊 彭海平,稳健成长型,2017-11-06,2017-12-01,公告,
005282,中金价值轮动混合A,郭党钰,稳健成长型,2017-11-06,2018-01-02,公告,
004721,华夏睿磐泰茂混合C,张弘弢,稳健成长型,2017-11-06,2017-12-01,公告,
005283,中金价值轮动混合C,郭党钰,稳健成长型,2017-11-06,2018-01-02,公告,
004720,华夏睿磐泰茂混合A,张弘弢,稳健成长型,2017-11-06,2017-12-01,公告,
005279,华泰紫金红利低波指数发起,熊志勇,指数型,2017-11-06,2017-11-24,公告,
501051,圆信永丰汇利混合(LOF),洪流,稳健成长型,2017-11-06,2017-11-24,公告,
004685,金元顺安元启灵活配置混合,缪玮彬,稳健成长型,2017-11-06,2018-02-05,公告,
160423,华安慧增优选定期开放灵活配置混合,刘伟亭,稳健成长型,2017-11-03,2018-02-02,公告,
004848,中欧睿泓定期开放混合,曹名长 孙倩倩,稳健成长型,2017-11-03,2017-11-17,公告,
159957,华夏创业板ETF,徐猛,指数型,2017-11-03,2017-11-30,公告,
501106,广发中证10年期国开债(LOF)A,王予柯,指数型,2017-11-03,2017-12-01,公告,
005301,前海开源景鑫混合A,李炳智,稳健成长型,2017-11-03,2018-01-05,公告,
001562,易方达瑞和混合,萧楠,稳健成长型,2017-11-03,2018-01-30,公告,
004668,建信鑫泽回报灵活配置混合A,王东杰,稳健成长型,2017-11-03,2018-02-02,公告,
004669,建信鑫泽回报灵活配置混合C,王东杰,稳健成长型,2017-11-03,2018-02-02,公告,
005302,前海开源景鑫混合C,李炳智,稳健成长型,2017-11-03,2018-01-05,公告,
004665,国泰润享纯债债券,韩哲昊,稳健成长型,2017-11-03,2018-02-02,公告,
004989,人保双利混合B,魏瑄,稳健成长型,2017-11-03,2017-11-29,公告,
004806,长信先机两年定期开放混合,左金保,稳健成长型,2017-11-03,2017-12-15,公告,
004988,人保双利混合A,魏瑄,稳健成长型,2017-11-03,2017-11-29,公告,
005285,广发中证10年期国开债(LOF)C,王予柯,指数型,2017-11-03,2017-12-01,公告,
005144,东吴优益债券A,陈晨,稳健成长型,2017-11-02,2017-11-17,公告,
005209,东吴双三角股票A,曹松涛 彭敢,稳健成长型,2017-11-02,2017-11-29,公告,
005145,东吴优益债券C,陈晨,稳健成长型,2017-11-02,2017-11-17,公告,
005210,东吴双三角股票C,彭敢 曹松涛,稳健成长型,2017-11-02,2017-11-29,公告,
004673,华夏鼎盛债券C,祝灿,稳健成长型,2017-11-02,2018-01-24,公告,
004672,华夏鼎盛债券A,祝灿,稳健成长型,2017-11-02,2018-01-24,公告,
005294,诺德新宜混合,张倩,稳健成长型,2017-11-02,2017-12-01,公告,
005051,上投摩根港股低波红利指数A,张淑婉 施虓文,指数型,2017-11-01,2017-11-29,公告,
005052,上投摩根港股低波红利指数C,施虓文 张淑婉,指数型,2017-11-01,2017-11-29,公告,
004653,建信鑫利回报灵活配置混合C,何珅华 叶乐天,稳健成长型,2017-11-01,2017-12-15,公告,
001747,易方达瑞祺混合I,胡剑,稳健成长型,2017-11-01,2018-01-30,公告,
005171,富国景利纯债债券,钟智伦,稳健成长型,2017-11-01,2017-11-10,公告,
001573,南方互联混合,张原,稳健成长型,2017-11-01,2017-11-22,公告,
005280,安信阿尔法定开混合,龙川,稳健成长型,2017-11-01,2017-11-30,公告,
004764,中科沃土沃嘉混合C,杨凡,稳健成长型,2017-11-01,2017-12-01,公告,
004763,中科沃土沃嘉混合A,杨凡,稳健成长型,2017-11-01,2017-12-01,公告,
004652,建信鑫利回报灵活配置混合A,何珅华 叶乐天,稳健成长型,2017-11-01,2017-12-15,公告,
004900,财通资管鑫锐混合A,宫志芳,稳健成长型,2017-11-01,2017-11-30,公告,
004901,财通资管鑫锐混合C,宫志芳,稳健成长型,2017-11-01,2017-11-30,公告,
