symbol,name,ticktime,price,volume,prev_price,kind,settlement,ratio_avg_volume_20,
sz000725,京东方Ａ,10:55:48,6.600,2251900,6.600,D,6.530,15,
sh600016,民生银行,10:55:42,8.380,502600,8.380,U,8.360,75,
sh600183,生益科技,10:55:42,16.000,555400,16.030,D,16.160,249,
sz000725,京东方Ａ,10:55:42,6.600,757520,6.600,U,6.530,5,
sz000001,平安银行,10:55:42,12.500,1373294,12.480,U,11.920,158,
sh600585,海螺水泥,10:55:39,25.320,507600,25.320,U,25.240,126,
sz000725,京东方Ａ,10:55:36,6.590,503400,6.590,D,6.530,3,
sz000725,京东方Ａ,10:55:30,6.590,689700,6.590,D,6.530,5,
sz000100,TCL 集团,10:55:24,4.830,824000,4.830,D,4.800,25,
sz000725,京东方Ａ,10:55:21,6.590,1441800,6.590,D,6.530,10,
sz000725,京东方Ａ,10:55:18,6.590,659000,6.580,U,6.530,4,
sz000839,中信国安,10:55:15,13.750,643500,13.710,U,12.510,52,
sz000725,京东方Ａ,10:55:15,6.580,1826400,6.580,D,6.530,12,
sz000725,京东方Ａ,10:55:12,6.580,979800,6.580,D,6.530,7,
sh600565,迪马股份,10:55:09,4.710,560200,4.710,D,4.700,240,
sz000725,京东方Ａ,10:55:09,6.580,1970900,6.580,D,6.530,13,
sz000725,京东方Ａ,10:55:06,6.580,1527500,6.580,D,6.530,10,
sz000725,京东方Ａ,10:55:03,6.580,865800,6.580,D,6.530,6,
sz000725,京东方Ａ,10:55:00,6.580,1137000,6.590,D,6.530,8,
sz000725,京东方Ａ,10:54:57,6.590,923500,6.580,U,6.530,6,
sz000100,TCL 集团,10:54:51,4.840,774400,4.840,D,4.800,23,
sz000001,平安银行,10:54:48,12.490,1066500,12.480,U,11.920,122,
sz000725,京东方Ａ,10:54:48,6.590,1692100,6.590,D,6.530,11,
sh600015,华夏银行,10:54:45,9.080,506900,9.090,D,9.020,169,
sz000725,京东方Ａ,10:54:45,6.590,952200,6.600,D,6.530,6,
sz000725,京东方Ａ,10:54:36,6.600,781000,6.600,U,6.530,5,
sz000725,京东方Ａ,10:54:33,6.600,3956580,6.600,D,6.530,27,
sz000725,京东方Ａ,10:54:27,6.610,518500,6.610,D,6.530,3,
sz000725,京东方Ａ,10:54:24,6.610,816300,6.620,D,6.530,5,
sz000725,京东方Ａ,10:54:21,6.620,1071300,6.600,U,6.530,7,
sz000725,京东方Ａ,10:54:15,6.600,11574220,6.630,D,6.530,78,
sz000725,京东方Ａ,10:54:12,6.630,1208500,6.640,D,6.530,8,
sz000725,京东方Ａ,10:54:09,6.640,1154100,6.630,U,6.530,8,
sz000725,京东方Ａ,10:54:06,6.630,2088040,6.640,D,6.530,14,
sh600050,中国联通,10:54:03,7.960,579500,7.960,U,7.970,18,
sz000725,京东方Ａ,10:54:03,6.640,1100000,6.650,D,6.530,7,
sh601918,新集能源,10:54:00,4.030,568460,4.030,U,3.990,356,
sz000725,京东方Ａ,10:53:57,6.650,729900,6.650,D,6.530,5,
sh601398,工商银行,10:53:57,6.060,784467,6.050,U,6.070,36,
sz000725,京东方Ａ,10:53:54,6.650,2675700,6.650,D,6.530,18,
sh603993,洛阳钼业,10:53:48,6.960,601900,6.970,D,6.900,45,
sz300059,东方财富,10:53:24,12.980,674100,12.970,U,12.810,102,
sz000100,TCL 集团,10:53:15,4.860,507900,4.860,U,4.800,15,
sz000725,京东方Ａ,10:53:15,6.660,1769880,6.660,D,6.530,12,
sz300059,东方财富,10:53:12,12.980,562100,12.980,D,12.810,85,
sz000725,京东方Ａ,10:53:12,6.660,1077700,6.670,D,6.530,7,
sh601398,工商银行,10:52:24,6.070,756700,6.060,U,6.070,35,
sh600111,北方稀土,10:52:09,14.450,504067,14.390,U,14.310,75,
sz000100,TCL 集团,10:52:00,4.870,822100,4.870,U,4.800,24,
sh600816,安信信托,10:52:00,14.320,1001500,14.250,U,14.400,317,
sh601398,工商银行,10:51:54,6.070,663600,6.070,U,6.070,31,
sz000725,京东方Ａ,10:51:48,6.660,554800,6.660,U,6.530,4,
sz000725,京东方Ａ,10:51:39,6.660,514300,6.660,D,6.530,3,
sz000636,风华高科,10:51:33,10.720,959400,10.660,U,10.100,560,
sz000725,京东方Ａ,10:51:30,6.660,690200,6.660,D,6.530,5,
sh600030,中信证券,10:51:27,17.980,625700,17.990,D,17.520,97,
sz000725,京东方Ａ,10:51:21,6.660,2055400,6.670,D,6.530,14,
sz000166,申万宏源,10:51:09,5.680,500700,5.670,U,5.640,215,
